Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Phú Yên,25/10/2022,09:32,26°,Nhiều mây,22°/28°,81%,10 km,1.28 km/giờ,22 °C,0,Rất kém
Khánh Hòa,25/10/2022,09:32,29°,Nhiều mây,23°/30°,71%,10 km,1.64 km/giờ,23 °C,0,Kém
Ninh Thuận,25/10/2022,09:32,29°,Nhiều mây,24°/31°,70%,10 km,1.26 km/giờ,23 °C,0,Kém
Bình Thuận,25/10/2022,09:32,29°,Mây thưa,22°/30°,65%,10 km,0.27 km/giờ,22 °C,0,Tốt
Kon Tum,25/10/2022,09:32,27°,Mây cụm,21°/30°,67%,10 km,1.2 km/giờ,20 °C,4.54,Trung bình
Gia Lai,25/10/2022,09:32,26°,Nhiều mây,21°/27°,77%,10 km,2.18 km/giờ,22 °C,0,Trung bình
"Đắk Lắk",25/10/2022,09:32,24°,Nhiều mây,20°/27°,84%,10 km,1.06 km/giờ,21 °C,0,Kém
"Đắk Nông",25/10/2022,09:32,24°,Nhiều mây,20°/27°,84%,10 km,1.06 km/giờ,21 °C,0,Kém
Lâm Đồng,25/10/2022,09:32,27°,Mây cụm,18°/28°,62%,10 km,0.19 km/giờ,19 °C,0,Khá
Bình Phước,25/10/2022,09:32,28°,Nhiều mây,21°/29°,75%,10 km,0.22 km/giờ,24 °C,0,Tốt
Tây Ninh,25/10/2022,09:32,28°,Nhiều mây,24°/31°,76%,10 km,1.8 km/giờ,24 °C,4.35,Trung bình
Bình Dương,25/10/2022,09:32,27°,Mây rải rác,24°/31°,89%,10 km,3.6 km/giờ,25 °C,0,Kém
"Đồng Nai",25/10/2022,09:32,28°,Nhiều mây,23°/31°,81%,10 km,2.3 km/giờ,23 °C,0,Trung bình
Bà Rịa - Vũng Tàu,25/10/2022,09:32,28°,Nhiều mây,23°/30°,80%,10 km,2.25 km/giờ,24 °C,4.47,Kém
Hồ Chí Minh,25/10/2022,09:32,28°,Mây rải rác,24°/31°,89%,10 km,3.09 km/giờ,26 °C,4.1,Rất kém
Long An,25/10/2022,09:32,28°,Nhiều mây,24°/32°,80%,10 km,1.88 km/giờ,24 °C,0,Khá
Tiền Giang,25/10/2022,09:32,28°,Nhiều mây,24°/31°,82%,10 km,1.21 km/giờ,25 °C,4.15,Rất kém
Bến Tre,25/10/2022,09:32,28°,Nhiều mây,24°/31°,82%,10 km,1.01 km/giờ,25 °C,0,Rất kém
Trà Vinh,25/10/2022,09:32,28°,Mưa cường độ nặng,24°/30°,77%,10 km,0.68 km/giờ,24 °C,4.01,Rất kém
Vĩnh Long,25/10/2022,09:32,26°,Nhiều mây,24°/31°,74%,10 km,1.24 km/giờ,21 °C,0,Rất kém
"Đồng Tháp",25/10/2022,09:32,26°,Nhiều mây,25°/32°,74%,10 km,1.75 km/giờ,19 °C,0,Trung bình
An Giang,25/10/2022,09:32,26°,Nhiều mây,25°/31°,74%,10 km,1.74 km/giờ,21 °C,0,Kém
Kiên Giang,25/10/2022,09:32,28°,Nhiều mây,25°/29°,78%,10 km,1.92 km/giờ,24 °C,0,Kém
Cần Thơ,25/10/2022,09:33,26°,Mưa nhẹ,24°/31°,94%,10 km,1.54 km/giờ,25 °C,4.34,Rất kém
Hậu Giang,25/10/2022,09:33,26°,Mưa nhẹ,24°/30°,76%,10 km,1.6 km/giờ,21 °C,4.2,Kém
Sóc Trăng,25/10/2022,09:33,29°,Nhiều mây,24°/30°,73%,10 km,2.18 km/giờ,23 °C,4.14,Rất kém
Bạc Liêu,25/10/2022,09:33,28°,Nhiều mây,25°/29°,74%,10 km,2.14 km/giờ,23 °C,3.7,Kém
Cà Mau,25/10/2022,09:33,28°,Mưa nhẹ,24°/30°,79%,10 km,1.34 km/giờ,24 °C,6.7,Khá
