Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
"Đà Nẵng",18/11/2022,23:09,26°,Mây rải rác,24°/28°,89%,8 km,0.51 km/giờ,24 °C,0,Khá
Quảng Nam,18/11/2022,23:09,25°,Nhiều mây,23°/28°,87%,10 km,0.91 km/giờ,22 °C,0,Khá
Quảng Ngãi,18/11/2022,23:09,24°,Nhiều mây,22°/28°,90%,10 km,2.15 km/giờ,23 °C,0,Khá
Bình Định,18/11/2022,23:09,25°,Nhiều mây,24°/27°,88%,10 km,4.99 km/giờ,23 °C,0,Tốt
Phú Yên,18/11/2022,23:09,22°,Nhiều mây,21°/25°,97%,10 km,0.8 km/giờ,21 °C,0,Tốt
Khánh Hòa,18/11/2022,23:09,27°,Nhiều mây,22°/27°,94%,10 km,2.06 km/giờ,26 °C,0,Khá
Ninh Thuận,18/11/2022,23:09,25°,Nhiều mây,22°/26°,86%,10 km,3.05 km/giờ,22 °C,0,Tốt
Bình Thuận,18/11/2022,23:09,22°,Mưa nhẹ,21°/25°,93%,10 km,1.51 km/giờ,21 °C,0,Tốt
Kon Tum,18/11/2022,23:09,20°,Nhiều mây,19°/30°,95%,10 km,1.46 km/giờ,19 °C,0,Tốt
Gia Lai,18/11/2022,23:09,20°,Nhiều mây,19°/26°,98%,10 km,1.43 km/giờ,20 °C,0,Tốt
"Đắk Lắk",18/11/2022,23:09,21°,Nhiều mây,19°/23°,92%,10 km,2.88 km/giờ,20 °C,0,Tốt
"Đắk Nông",18/11/2022,23:09,21°,Nhiều mây,19°/23°,92%,10 km,2.88 km/giờ,20 °C,0,Tốt
Lâm Đồng,18/11/2022,23:09,19°,Nhiều mây,18°/23°,94%,10 km,1.67 km/giờ,18 °C,0,Tốt
Bình Phước,18/11/2022,23:09,22°,Nhiều mây,20°/29°,98%,10 km,1.27 km/giờ,21 °C,0,Khá
Tây Ninh,18/11/2022,23:09,25°,Nhiều mây,22°/30°,92%,10 km,1.94 km/giờ,23 °C,0,Kém
Bình Dương,18/11/2022,23:09,27°,Mây cụm,22°/29°,94%,6 km,1.54 km/giờ,26 °C,0,Rất kém
"Đồng Nai",18/11/2022,23:09,27°,Nhiều mây,22°/29°,89%,10 km,1.13 km/giờ,25 °C,0,Rất kém
Bà Rịa - Vũng Tàu,18/11/2022,23:09,24°,Nhiều mây,22°/29°,91%,10 km,2.15 km/giờ,23 °C,0,Kém
Hồ Chí Minh,18/11/2022,23:09,27°,Mây cụm,22°/29°,94%,6 km,1.54 km/giờ,26 °C,0,Rất kém
Long An,18/11/2022,23:09,25°,Mưa nhẹ,22°/29°,87%,10 km,2.47 km/giờ,23 °C,0,Rất kém
Tiền Giang,18/11/2022,23:09,25°,Nhiều mây,22°/28°,86%,10 km,1.92 km/giờ,23 °C,0,Rất kém
Bến Tre,18/11/2022,23:09,26°,Nhiều mây,22°/28°,82%,10 km,2.22 km/giờ,22 °C,0,Rất kém
Trà Vinh,18/11/2022,23:09,26°,Nhiều mây,22°/29°,81%,10 km,2.98 km/giờ,22 °C,0,Kém
Vĩnh Long,18/11/2022,23:09,24°,Nhiều mây,22°/29°,88%,10 km,1.99 km/giờ,22 °C,0,Rất kém
"Đồng Tháp",18/11/2022,23:09,24°,Nhiều mây,22°/29°,85%,10 km,2.31 km/giờ,21 °C,0,Rất kém
An Giang,18/11/2022,23:09,24°,Nhiều mây,22°/29°,86%,10 km,2.1 km/giờ,21 °C,0,Rất kém
Kiên Giang,18/11/2022,23:09,25°,Nhiều mây,23°/27°,87%,10 km,3.07 km/giờ,23 °C,0,Rất kém
Cần Thơ,18/11/2022,23:09,24°,Mây cụm,22°/28°,100%,10 km,1.03 km/giờ,24 °C,0,Rất kém
Hậu Giang,18/11/2022,23:09,24°,Nhiều mây,22°/27°,92%,10 km,2.34 km/giờ,23 °C,0,Rất kém
Sóc Trăng,18/11/2022,23:09,26°,Nhiều mây,22°/26°,85%,10 km,3.15 km/giờ,23 °C,0,Rất kém
Bạc Liêu,18/11/2022,23:09,26°,Nhiều mây,22°/26°,85%,10 km,4.44 km/giờ,23 °C,0,Kém
Cà Mau,18/11/2022,23:09,24°,Nhiều mây,22°/25°,94%,10 km,2.02 km/giờ,23 °C,0,Rất kém
