Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Nghệ An,30/10/2022,16:59,25°,Mây cụm,21°/27°,77%,10 km,3.15 km/giờ,20 °C,0.23,Rất kém
Hà Tĩnh,30/10/2022,16:59,25°,Mây cụm,21°/26°,79%,10 km,3.5 km/giờ,21 °C,0,Rất kém
Quảng Bình,30/10/2022,16:59,24°,Nhiều mây,19°/26°,88%,10 km,3.11 km/giờ,21 °C,0.22,Rất kém
Quảng Trị,30/10/2022,17:00,24°,Nhiều mây,21°/27°,86%,10 km,5.21 km/giờ,21 °C,0.19,Rất kém
Thừa Thiên Huế,30/10/2022,17:00,26°,Mưa cường độ nặng,21°/26°,78%,10 km,3.09 km/giờ,22 °C,0,Rất kém
"Đà Nẵng",30/10/2022,17:00,27°,Mây cụm,22°/27°,69%,10 km,5.66 km/giờ,21 °C,0,Rất kém
Quảng Nam,30/10/2022,17:00,25°,Mưa nhẹ,20°/27°,85%,10 km,3.21 km/giờ,22 °C,0,Rất kém
Quảng Ngãi,30/10/2022,17:00,24°,Nhiều mây,20°/28°,85%,10 km,3.34 km/giờ,21 °C,0,Rất kém
Bình Định,30/10/2022,17:00,25°,Mây cụm,22°/27°,80%,10 km,7.55 km/giờ,21 °C,0.17,Kém
Phú Yên,30/10/2022,17:00,23°,Nhiều mây,19°/28°,85%,10 km,1.15 km/giờ,20 °C,0,Khá
Khánh Hòa,30/10/2022,17:00,28°,Nhiều mây,21°/31°,83%,10 km,2.35 km/giờ,25 °C,0,Khá
Ninh Thuận,30/10/2022,17:00,26°,Nhiều mây,22°/29°,84%,10 km,3.56 km/giờ,23 °C,0.18,Trung bình
Bình Thuận,30/10/2022,17:00,25°,Nhiều mây,21°/30°,90%,10 km,1.39 km/giờ,23 °C,0,Tốt
Kon Tum,30/10/2022,17:00,23°,Mây cụm,16°/28°,76%,10 km,1.31 km/giờ,18 °C,0,Khá
Gia Lai,30/10/2022,17:00,22°,Nhiều mây,17°/28°,84%,10 km,1.58 km/giờ,19 °C,0.16,Khá
"Đắk Lắk",30/10/2022,17:00,22°,Nhiều mây,17°/28°,88%,10 km,1.59 km/giờ,20 °C,0,Khá
"Đắk Nông",30/10/2022,17:00,22°,Nhiều mây,17°/28°,88%,10 km,1.59 km/giờ,20 °C,0,Khá
Lâm Đồng,30/10/2022,17:00,21°,Nhiều mây,16°/28°,96%,10 km,0.89 km/giờ,20 °C,0,Tốt
Bình Phước,30/10/2022,17:00,26°,Nhiều mây,20°/32°,78%,10 km,1.19 km/giờ,22 °C,0.25,Tốt
Tây Ninh,30/10/2022,17:00,27°,Nhiều mây,22°/31°,74%,10 km,4.05 km/giờ,22 °C,0.29,Tốt
Bình Dương,30/10/2022,17:00,31°,Mây rải rác,22°/33°,62%,10 km,2.06 km/giờ,22 °C,0,Tốt
"Đồng Nai",30/10/2022,17:00,31°,Mây cụm,23°/31°,79%,10 km,0.84 km/giờ,27 °C,0.26,Khá
Bà Rịa - Vũng Tàu,30/10/2022,17:00,26°,Nhiều mây,23°/31°,87%,10 km,1.66 km/giờ,24 °C,0.25,Khá
Hồ Chí Minh,30/10/2022,17:00,31°,Mây rải rác,23°/32°,62%,10 km,2.06 km/giờ,23 °C,0.26,Kém
Long An,30/10/2022,17:00,29°,Mây cụm,23°/32°,71%,10 km,2.4 km/giờ,23 °C,0,Tốt
Tiền Giang,30/10/2022,17:00,28°,Nhiều mây,22°/32°,80%,10 km,0.79 km/giờ,24 °C,0.28,Tốt
Bến Tre,30/10/2022,17:00,27°,Nhiều mây,22°/33°,84%,10 km,1.06 km/giờ,24 °C,0,Tốt
Trà Vinh,30/10/2022,17:00,27°,Mưa vừa,23°/32°,87%,10 km,1.41 km/giờ,24 °C,0.21,Kém
Vĩnh Long,30/10/2022,17:00,29°,Mây cụm,23°/32°,71%,10 km,2.11 km/giờ,23 °C,0.34,Khá
"Đồng Tháp",30/10/2022,17:00,29°,Mây cụm,24°/32°,64%,10 km,3.76 km/giờ,21 °C,0.34,Tốt
An Giang,30/10/2022,17:00,29°,Mây cụm,24°/33°,63%,10 km,3.63 km/giờ,21 °C,0.38,Tốt
Kiên Giang,30/10/2022,17:00,29°,Mưa nhẹ,24°/31°,72%,10 km,3.51 km/giờ,23 °C,0,Tốt
Cần Thơ,30/10/2022,17:00,29°,Mây cụm,24°/33°,65%,10 km,1.03 km/giờ,22 °C,0,Khá
Hậu Giang,30/10/2022,17:00,29°,Nhiều mây,24°/32°,75%,10 km,3.03 km/giờ,24 °C,0,Tốt
Sóc Trăng,30/10/2022,17:00,27°,Nhiều mây,24°/32°,84%,10 km,2.36 km/giờ,24 °C,0,Khá
Bạc Liêu,30/10/2022,17:00,27°,Mưa nhẹ,24°/31°,80%,4.03 km,2.63 km/giờ,24 °C,0.3,Khá
Cà Mau,30/10/2022,17:00,28°,Nhiều mây,23°/32°,76%,10 km,2.12 km/giờ,24 °C,0,Khá
