Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Nội,18/10/2022,15:53,30°,Bầu trời quang đãng,17°/30°,30%,10 km,4.12 km/giờ,12 °C,0,Rất kém
Vĩnh Phúc,18/10/2022,15:53,30°,Mây thưa,17°/30°,33%,10 km,2.84 km/giờ,12 °C,0,Rất kém
Bắc Ninh,18/10/2022,15:53,30°,Mây rải rác,17°/30°,35%,10 km,6.78 km/giờ,11 °C,0,Rất kém
Hải Dương,18/10/2022,15:53,30°,Mây rải rác,16°/30°,38%,10 km,6.56 km/giờ,14 °C,0,Rất kém
Hải Phòng,18/10/2022,15:53,30°,Bầu trời quang đãng,16°/30°,32%,10 km,4.63 km/giờ,12 °C,3.01,Rất kém
Hưng Yên,18/10/2022,15:53,28°,Mây rải rác,16°/28°,36%,10 km,6.3 km/giờ,11 °C,0,Rất kém
Thái Bình,18/10/2022,15:53,28°,Mây rải rác,16°/29°,41%,10 km,6.5 km/giờ,12 °C,3.21,Rất kém
Hà Nam,18/10/2022,15:53,28°,Mây rải rác,16°/28°,36%,10 km,5.95 km/giờ,12 °C,0,Rất kém
Nam Định,18/10/2022,15:53,28°,Mây rải rác,16°/29°,39%,10 km,6.75 km/giờ,12 °C,0,Rất kém
Ninh Bình,18/10/2022,15:54,28°,Nhiều mây,16°/28°,39%,10 km,6.19 km/giờ,12 °C,0,Rất kém
Thanh Hóa,18/10/2022,15:54,28°,Nhiều mây,16°/29°,44%,10 km,4.48 km/giờ,14 °C,0,Rất kém
Nghệ An,18/10/2022,15:54,26°,Mây cụm,18°/27°,56%,10 km,4.99 km/giờ,16 °C,0,Rất kém
Hà Tĩnh,18/10/2022,15:54,25°,Mây cụm,17°/25°,58%,10 km,4.35 km/giờ,16 °C,0,Rất kém
Quảng Bình,18/10/2022,15:54,25°,Mây cụm,18°/25°,67%,10 km,4.49 km/giờ,18 °C,0,Rất kém
Quảng Trị,18/10/2022,15:54,25°,Mây cụm,19°/25°,70%,10 km,5.52 km/giờ,19 °C,0,Rất kém
Thừa Thiên Huế,18/10/2022,15:54,27°,Mây rải rác,20°/29°,61%,10 km,5.66 km/giờ,19 °C,0.91,Rất kém
"Đà Nẵng",18/10/2022,15:54,29°,Mây rải rác,22°/29°,51%,8 km,7.2 km/giờ,18 °C,1.09,Rất kém
Quảng Nam,18/10/2022,15:54,25°,Nhiều mây,21°/28°,75%,10 km,7.47 km/giờ,21 °C,1.13,Rất kém
Quảng Ngãi,18/10/2022,15:54,26°,Nhiều mây,21°/28°,77%,10 km,7.04 km/giờ,21 °C,1.14,Rất kém
Bình Định,18/10/2022,15:54,27°,Mây cụm,23°/28°,78%,10 km,7.52 km/giờ,23 °C,0,Rất kém
Phú Yên,18/10/2022,15:54,26°,Mây cụm,20°/30°,72%,10 km,2.14 km/giờ,21 °C,0,Rất kém
Khánh Hòa,18/10/2022,15:54,29°,Mây rải rác,22°/31°,77%,10 km,1.74 km/giờ,23 °C,0,Kém
Ninh Thuận,18/10/2022,15:54,28°,Mây rải rác,23°/29°,74%,10 km,2.19 km/giờ,22 °C,0.96,Khá
Bình Thuận,18/10/2022,15:54,26°,Nhiều mây,21°/28°,87%,10 km,1.55 km/giờ,23 °C,0,Khá
Kon Tum,18/10/2022,15:54,27°,Nhiều mây,17°/28°,71%,10 km,0.17 km/giờ,21 °C,0.97,Khá
Gia Lai,18/10/2022,15:54,26°,Nhiều mây,19°/27°,76%,10 km,2.17 km/giờ,21 °C,1.18,Kém
"Đắk Lắk",18/10/2022,15:54,25°,Mây cụm,18°/29°,80%,10 km,0.93 km/giờ,21 °C,1.04,Trung bình
"Đắk Nông",18/10/2022,15:54,25°,Mây cụm,18°/29°,80%,10 km,0.93 km/giờ,21 °C,1.04,Trung bình
Lâm Đồng,18/10/2022,15:54,21°,Nhiều mây,18°/26°,98%,9.73 km,1.1 km/giờ,21 °C,0,Tốt
Bình Phước,18/10/2022,15:54,27°,Mây cụm,21°/29°,92%,10 km,1.31 km/giờ,25 °C,1.58,Khá
Tây Ninh,18/10/2022,15:54,30°,Nhiều mây,23°/31°,65%,10 km,1.58 km/giờ,22 °C,3.88,Trung bình
Bình Dương,18/10/2022,15:54,32°,Nhiều mây,24°/32°,62%,10 km,3.6 km/giờ,24 °C,0,Rất kém
"Đồng Nai",18/10/2022,15:54,32°,Mưa nhẹ,23°/32°,78%,10 km,3.1 km/giờ,28 °C,0.73,Rất kém
Bà Rịa - Vũng Tàu,18/10/2022,15:54,27°,Mây cụm,23°/29°,81%,10 km,2.68 km/giờ,24 °C,1.59,Rất kém
Hồ Chí Minh,18/10/2022,15:54,32°,Mây rải rác,24°/32°,62%,10 km,3.09 km/giờ,24 °C,0,Rất kém
Long An,18/10/2022,15:54,29°,Nhiều mây,24°/29°,76%,10 km,2.28 km/giờ,24 °C,0,Trung bình
Tiền Giang,18/10/2022,15:54,28°,Nhiều mây,23°/29°,83%,10 km,2.13 km/giờ,25 °C,1.58,Kém
Bến Tre,18/10/2022,15:54,28°,Nhiều mây,23°/29°,84%,5.72 km,1.91 km/giờ,25 °C,0,Kém
Trà Vinh,18/10/2022,15:54,28°,Nhiều mây,24°/29°,78%,10 km,2.3 km/giờ,24 °C,0,Kém
Vĩnh Long,18/10/2022,15:54,32°,Mây cụm,24°/32°,73%,5.58 km,1.85 km/giờ,27 °C,1.19,Khá
"Đồng Tháp",18/10/2022,15:54,32°,Nhiều mây,24°/32°,62%,10 km,0.66 km/giờ,24 °C,1.19,Kém
An Giang,18/10/2022,15:54,32°,Nhiều mây,24°/32°,62%,10 km,0.4 km/giờ,24 °C,0,Rất kém
Kiên Giang,18/10/2022,15:54,29°,Mây cụm,24°/29°,69%,5.87 km,1.42 km/giờ,23 °C,1.93,Kém
Cần Thơ,18/10/2022,15:54,32°,Mây rải rác,24°/32°,62%,10 km,1.03 km/giờ,24 °C,2.94,Kém
Hậu Giang,18/10/2022,15:54,32°,Mây cụm,24°/32°,71%,8.09 km,1.11 km/giờ,26 °C,1.93,Kém
Sóc Trăng,18/10/2022,15:54,29°,Mưa nhẹ,24°/29°,75%,7.16 km,2.81 km/giờ,24 °C,0,Kém
Bạc Liêu,18/10/2022,15:54,29°,Mây cụm,25°/29°,71%,10 km,3.33 km/giờ,23 °C,1.78,Trung bình
Cà Mau,18/10/2022,15:54,28°,Mưa vừa,24°/30°,78%,10 km,1.73 km/giờ,24 °C,0,Khá
