Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hưng Yên,03/10/2022,20:42,24°,Bầu trời quang đãng,23°/31°,94%,10 km,1.31 km/giờ,23 °C,0,Rất kém
Thái Bình,03/10/2022,20:42,26°,Bầu trời quang đãng,24°/31°,88%,10 km,2.77 km/giờ,24 °C,0,Rất kém
Hà Nam,03/10/2022,20:42,24°,Mây thưa,23°/31°,94%,10 km,0.51 km/giờ,23 °C,0,Rất kém
Nam Định,03/10/2022,20:42,25°,Bầu trời quang đãng,24°/31°,91%,10 km,2.02 km/giờ,24 °C,0,Rất kém
Ninh Bình,03/10/2022,20:42,25°,Bầu trời quang đãng,23°/31°,93%,10 km,0.63 km/giờ,23 °C,0,Rất kém
Thanh Hóa,03/10/2022,20:42,24°,Bầu trời quang đãng,23°/31°,92%,10 km,1.03 km/giờ,23 °C,0,Rất kém
Nghệ An,03/10/2022,20:42,25°,Bầu trời quang đãng,24°/29°,87%,10 km,0.57 km/giờ,23 °C,0,Kém
Hà Tĩnh,03/10/2022,20:42,25°,Mây thưa,24°/28°,87%,10 km,0.47 km/giờ,23 °C,0,Khá
Quảng Bình,03/10/2022,20:42,25°,Mây rải rác,24°/30°,93%,10 km,0.56 km/giờ,23 °C,0,Tốt
Quảng Trị,03/10/2022,20:42,24°,Mây thưa,23°/30°,93%,10 km,1.52 km/giờ,23 °C,0,Kém
Thừa Thiên Huế,03/10/2022,20:42,28°,Mây rải rác,23°/29°,83%,9 km,1.54 km/giờ,25 °C,0,Kém
"Đà Nẵng",03/10/2022,20:42,27°,Mây thưa,25°/29°,89%,10 km,1.03 km/giờ,25 °C,0,Kém
Quảng Nam,03/10/2022,20:42,25°,Mây rải rác,23°/29°,89%,10 km,1.27 km/giờ,23 °C,0,Kém
Quảng Ngãi,03/10/2022,20:42,25°,Mây cụm,23°/30°,89%,10 km,0.96 km/giờ,23 °C,0,Kém
Bình Định,03/10/2022,20:42,26°,Nhiều mây,25°/28°,86%,10 km,2.34 km/giờ,24 °C,0,Tốt
Phú Yên,03/10/2022,20:42,23°,Mây rải rác,22°/27°,96%,10 km,0.65 km/giờ,22 °C,0,Tốt
Khánh Hòa,03/10/2022,20:42,28°,Mây cụm,24°/30°,92%,10 km,1.39 km/giờ,26 °C,0,Khá
Ninh Thuận,03/10/2022,20:42,25°,Nhiều mây,24°/32°,89%,10 km,2.56 km/giờ,23 °C,0,Trung bình
Bình Thuận,03/10/2022,20:42,24°,Nhiều mây,22°/31°,94%,10 km,1 km/giờ,22 °C,0,Tốt
Kon Tum,03/10/2022,20:42,21°,Mây cụm,19°/30°,97%,10 km,1.25 km/giờ,20 °C,0,Tốt
Gia Lai,03/10/2022,20:42,21°,Mây cụm,20°/27°,97%,10 km,1.24 km/giờ,21 °C,0,Khá
"Đắk Lắk",03/10/2022,20:42,22°,Nhiều mây,20°/28°,91%,10 km,3.39 km/giờ,21 °C,0,Tốt
"Đắk Nông",03/10/2022,20:42,22°,Nhiều mây,20°/28°,91%,10 km,3.39 km/giờ,21 °C,0,Tốt
Lâm Đồng,03/10/2022,20:42,19°,Nhiều mây,18°/28°,98%,10 km,1.33 km/giờ,19 °C,0,Tốt
Bình Phước,03/10/2022,20:42,23°,Nhiều mây,22°/32°,96%,10 km,0.92 km/giờ,22 °C,0,Tốt
Tây Ninh,03/10/2022,20:42,26°,Nhiều mây,24°/32°,90%,10 km,2.31 km/giờ,24 °C,0,Rất kém
Bình Dương,03/10/2022,20:42,29°,Mây rải rác,24°/31°,79%,10 km,4.12 km/giờ,25 °C,0,Kém
"Đồng Nai",03/10/2022,20:42,29°,Nhiều mây,24°/32°,90%,10 km,2.57 km/giờ,28 °C,0,Kém
Bà Rịa - Vũng Tàu,03/10/2022,20:42,25°,Nhiều mây,24°/31°,91%,10 km,3.06 km/giờ,23 °C,0,Tốt
Hồ Chí Minh,03/10/2022,20:42,29°,Mây rải rác,24°/31°,79%,10 km,4.12 km/giờ,25 °C,0,Rất kém
Long An,03/10/2022,20:42,25°,Mây cụm,24°/31°,93%,10 km,2.57 km/giờ,24 °C,0,Kém
Tiền Giang,03/10/2022,20:42,25°,Nhiều mây,24°/31°,95%,10 km,1.98 km/giờ,24 °C,0,Rất kém
Bến Tre,03/10/2022,20:42,25°,Nhiều mây,24°/32°,96%,10 km,1.79 km/giờ,24 °C,0,Rất kém
Trà Vinh,03/10/2022,20:42,25°,Nhiều mây,25°/30°,93%,10 km,2.44 km/giờ,24 °C,0,Kém
Vĩnh Long,03/10/2022,20:42,26°,Nhiều mây,24°/32°,92%,10 km,1.9 km/giờ,25 °C,0,Rất kém
"Đồng Tháp",03/10/2022,20:42,26°,Mưa nhẹ,25°/31°,87%,10 km,2.37 km/giờ,24 °C,0,Rất kém
An Giang,03/10/2022,20:43,26°,Mưa vừa,25°/32°,87%,10 km,2.99 km/giờ,24 °C,0,Rất kém
Kiên Giang,03/10/2022,20:43,26°,Nhiều mây,25°/31°,88%,10 km,3.11 km/giờ,24 °C,0,Khá
Cần Thơ,03/10/2022,20:43,26°,Mây cụm,24°/31°,89%,10 km,1.54 km/giờ,24 °C,0,Kém
Hậu Giang,03/10/2022,20:43,26°,Nhiều mây,24°/31°,90%,10 km,2.05 km/giờ,24 °C,0,Kém
Sóc Trăng,03/10/2022,20:43,26°,Nhiều mây,25°/30°,88%,10 km,2.52 km/giờ,24 °C,0,Rất kém
Bạc Liêu,03/10/2022,20:43,27°,Nhiều mây,26°/30°,83%,10 km,3.99 km/giờ,24 °C,0,Khá
Cà Mau,03/10/2022,20:43,25°,Nhiều mây,24°/31°,93%,10 km,2.38 km/giờ,24 °C,0,Khá
