Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Quảng Trị,26/09/2022,20:10,25°,Nhiều mây,23°/28°,90%,10 km,1.74 km/giờ,23 °C,0,Rất kém
Thừa Thiên Huế,26/09/2022,20:10,26°,Mây cụm,23°/27°,94%,6 km,1.54 km/giờ,25 °C,0,Rất kém
"Đà Nẵng",26/09/2022,20:10,26°,Mây cụm,24°/28°,94%,8 km,0.51 km/giờ,25 °C,0,Khá
Quảng Nam,26/09/2022,20:10,25°,Nhiều mây,23°/29°,84%,10 km,2.07 km/giờ,22 °C,0,Khá
Quảng Ngãi,26/09/2022,20:10,24°,Nhiều mây,22°/29°,89%,10 km,2.27 km/giờ,22 °C,0,Tốt
Bình Định,26/09/2022,20:10,26°,Nhiều mây,24°/29°,80%,10 km,2.72 km/giờ,22 °C,0,Khá
Phú Yên,26/09/2022,20:10,23°,Nhiều mây,21°/28°,93%,10 km,1.33 km/giờ,22 °C,0,Tốt
Khánh Hòa,26/09/2022,20:10,26°,Nhiều mây,23°/32°,91%,10 km,1.97 km/giờ,24 °C,0,Khá
Ninh Thuận,26/09/2022,20:10,25°,Mưa nhẹ,24°/31°,91%,10 km,0.75 km/giờ,24 °C,0,Tốt
Bình Thuận,26/09/2022,20:10,24°,Nhiều mây,23°/29°,89%,10 km,0.97 km/giờ,22 °C,0,Tốt
Kon Tum,26/09/2022,20:10,21°,Nhiều mây,19°/21°,96%,10 km,0.45 km/giờ,20 °C,0,Kém
Gia Lai,26/09/2022,20:10,22°,Nhiều mây,20°/22°,91%,10 km,1.13 km/giờ,20 °C,0,Tốt
"Đắk Lắk",26/09/2022,20:10,20°,Nhiều mây,19°/22°,98%,10 km,0.44 km/giờ,20 °C,0,Tốt
"Đắk Nông",26/09/2022,20:10,20°,Nhiều mây,19°/22°,98%,10 km,0.44 km/giờ,20 °C,0,Tốt
Lâm Đồng,26/09/2022,20:10,20°,Nhiều mây,19°/24°,95%,10 km,1.3 km/giờ,19 °C,0,Tốt
Bình Phước,26/09/2022,20:10,23°,Nhiều mây,22°/26°,94%,10 km,1.07 km/giờ,22 °C,0,Tốt
Tây Ninh,26/09/2022,20:10,26°,Mưa nhẹ,24°/27°,85%,10 km,1.27 km/giờ,23 °C,0,Khá
Bình Dương,26/09/2022,20:10,24°,Mưa vừa,23°/29°,94%,10 km,2.57 km/giờ,23 °C,0,Kém
"Đồng Nai",26/09/2022,20:10,24°,Mưa vừa,23°/29°,93%,10 km,2.18 km/giờ,23 °C,0,Kém
Bà Rịa - Vũng Tàu,26/09/2022,20:10,24°,Nhiều mây,23°/29°,93%,10 km,1.81 km/giờ,23 °C,0,Rất kém
Hồ Chí Minh,26/09/2022,20:10,24°,Mưa nhẹ,24°/29°,94%,10 km,2.57 km/giờ,23 °C,0,Rất kém
Long An,26/09/2022,20:10,24°,Mưa vừa,24°/28°,94%,10 km,1.35 km/giờ,23 °C,0,Kém
Tiền Giang,26/09/2022,20:10,25°,Mưa nhẹ,24°/27°,94%,10 km,1.29 km/giờ,24 °C,0,Kém
Bến Tre,26/09/2022,20:10,25°,Nhiều mây,23°/28°,94%,10 km,1.32 km/giờ,24 °C,0,Kém
Trà Vinh,26/09/2022,20:10,25°,Nhiều mây,24°/29°,94%,10 km,2.6 km/giờ,24 °C,0,Kém
Vĩnh Long,26/09/2022,20:11,25°,Nhiều mây,24°/29°,93%,3.51 km,3.35 km/giờ,24 °C,0,Kém
"Đồng Tháp",26/09/2022,20:11,25°,Mưa nhẹ,24°/29°,95%,6.39 km,3.3 km/giờ,24 °C,0,Kém
An Giang,26/09/2022,20:11,25°,Mưa vừa,25°/29°,95%,4.86 km,3.06 km/giờ,24 °C,0,Kém
Kiên Giang,26/09/2022,20:11,27°,Nhiều mây,25°/28°,85%,7.42 km,4.38 km/giờ,24 °C,0,Tốt
Cần Thơ,26/09/2022,20:11,25°,Mây cụm,24°/28°,100%,8 km,1.03 km/giờ,25 °C,0,Khá
Hậu Giang,26/09/2022,20:11,25°,Nhiều mây,25°/28°,89%,4.12 km,2.83 km/giờ,23 °C,0,Tốt
Sóc Trăng,26/09/2022,20:11,26°,Mưa nhẹ,24°/28°,88%,4.78 km,3.46 km/giờ,24 °C,0,Tốt
Bạc Liêu,26/09/2022,20:11,27°,Nhiều mây,25°/29°,83%,10 km,3.76 km/giờ,24 °C,0,Tốt
Cà Mau,26/09/2022,20:11,26°,Nhiều mây,24°/29°,87%,10 km,1.97 km/giờ,24 °C,0,Tốt
