Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hồ Chí Minh,11/10/2022,20:05,26°,Mây rải rác,23°/32°,94%,8 km,1.03 km/giờ,25 °C,0,Kém
Long An,11/10/2022,20:05,25°,Nhiều mây,23°/31°,89%,9.21 km,1.09 km/giờ,23 °C,0,Tốt
Tiền Giang,11/10/2022,20:05,25°,Mưa cường độ nặng,23°/31°,90%,10 km,0.65 km/giờ,23 °C,0,Khá
Bến Tre,11/10/2022,20:05,25°,Mưa cường độ nặng,23°/32°,90%,10 km,0.73 km/giờ,23 °C,0,Khá
Trà Vinh,11/10/2022,20:05,26°,Mưa nhẹ,23°/31°,89%,10 km,1.13 km/giờ,24 °C,0,Kém
Vĩnh Long,11/10/2022,20:05,27°,Mưa vừa,23°/31°,84%,10 km,1.62 km/giờ,24 °C,0,Tốt
"Đồng Tháp",11/10/2022,20:05,27°,Nhiều mây,24°/31°,81%,10 km,2.14 km/giờ,23 °C,0,Khá
An Giang,11/10/2022,20:05,27°,Nhiều mây,24°/31°,81%,10 km,2.39 km/giờ,23 °C,0,Khá
Kiên Giang,11/10/2022,20:05,27°,Mưa vừa,24°/30°,84%,10 km,2.59 km/giờ,24 °C,0,Tốt
Cần Thơ,11/10/2022,20:05,27°,Mưa nhẹ,24°/31°,89%,10 km,0 km/giờ,25 °C,0,Khá
Hậu Giang,11/10/2022,20:05,27°,Nhiều mây,24°/31°,89%,10 km,1.91 km/giờ,25 °C,0,Khá
Sóc Trăng,11/10/2022,20:05,25°,Nhiều mây,23°/31°,88%,10 km,1.82 km/giờ,23 °C,0,Trung bình
Bạc Liêu,11/10/2022,20:05,26°,Nhiều mây,24°/30°,85%,10 km,2.1 km/giờ,23 °C,0,Trung bình
Cà Mau,11/10/2022,20:05,25°,Nhiều mây,23°/31°,89%,10 km,1.11 km/giờ,23 °C,0,Tốt
