Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Quảng Trị,27/09/2022,21:34,24°,Mưa rất nặng,24°/31°,96%,3.55 km,8.74 km/giờ,23 °C,0,Rất kém
Thừa Thiên Huế,27/09/2022,21:34,24°,Mưa cường độ nặng,24°/32°,94%,2.5 km,8.75 km/giờ,23 °C,0,Rất kém
"Đà Nẵng",27/09/2022,21:34,26°,Mưa cường độ nặng,25°/32°,94%,4 km,9.26 km/giờ,25 °C,0,Rất kém
Quảng Nam,27/09/2022,21:34,23°,Mưa cường độ nặng,23°/32°,96%,3.4 km,9.8 km/giờ,22 °C,0,Rất kém
Quảng Ngãi,27/09/2022,21:34,23°,Mưa cường độ nặng,23°/32°,93%,10 km,9.05 km/giờ,22 °C,0,Rất kém
Bình Định,27/09/2022,21:34,26°,Mưa vừa,25°/31°,76%,10 km,9.89 km/giờ,22 °C,0,Tốt
Phú Yên,27/09/2022,21:34,24°,Nhiều mây,22°/32°,82%,10 km,6.09 km/giờ,21 °C,0,Tốt
Khánh Hòa,27/09/2022,21:34,28°,Nhiều mây,25°/32°,81%,10 km,2.13 km/giờ,24 °C,0,Tốt
Ninh Thuận,27/09/2022,21:34,26°,Nhiều mây,24°/32°,76%,10 km,4.86 km/giờ,21 °C,0,Tốt
Bình Thuận,27/09/2022,21:34,23°,Nhiều mây,22°/30°,88%,10 km,3.01 km/giờ,21 °C,0,Tốt
Kon Tum,27/09/2022,21:34,20°,Mưa vừa,20°/27°,99%,3.68 km,2.87 km/giờ,20 °C,0,Tốt
Gia Lai,27/09/2022,21:34,21°,Mưa vừa,20°/29°,93%,8.19 km,8.8 km/giờ,20 °C,0,Tốt
"Đắk Lắk",27/09/2022,21:34,20°,Mưa nhẹ,20°/26°,98%,8.28 km,3.66 km/giờ,20 °C,0,Tốt
"Đắk Nông",27/09/2022,21:34,20°,Mưa nhẹ,20°/26°,98%,8.28 km,3.66 km/giờ,20 °C,0,Tốt
Lâm Đồng,27/09/2022,21:34,20°,Nhiều mây,19°/26°,87%,10 km,2.69 km/giờ,18 °C,0,Tốt
Bình Phước,27/09/2022,21:34,22°,Nhiều mây,22°/27°,97%,10 km,0.61 km/giờ,22 °C,0,Tốt
Tây Ninh,27/09/2022,21:34,24°,Mưa nhẹ,24°/31°,92%,10 km,4.57 km/giờ,23 °C,0,Khá
Bình Dương,27/09/2022,21:34,26°,Mây cụm,24°/30°,94%,10 km,3.09 km/giờ,25 °C,0,Khá
"Đồng Nai",27/09/2022,21:34,26°,Nhiều mây,24°/30°,92%,10 km,4.65 km/giờ,25 °C,0,Trung bình
Bà Rịa - Vũng Tàu,27/09/2022,21:34,24°,Nhiều mây,24°/28°,89%,10 km,5.25 km/giờ,22 °C,0,Trung bình
Hồ Chí Minh,27/09/2022,21:34,26°,Mây cụm,24°/30°,94%,10 km,3.09 km/giờ,25 °C,0,Trung bình
Long An,27/09/2022,21:34,24°,Nhiều mây,24°/29°,91%,10 km,4.76 km/giờ,23 °C,0,Khá
Tiền Giang,27/09/2022,21:34,24°,Nhiều mây,24°/28°,90%,10 km,4.52 km/giờ,23 °C,0,Khá
Bến Tre,27/09/2022,21:34,24°,Nhiều mây,24°/29°,91%,10 km,4.14 km/giờ,23 °C,0,Khá
Trà Vinh,27/09/2022,21:34,25°,Nhiều mây,24°/30°,89%,10 km,5.03 km/giờ,23 °C,0,Tốt
Vĩnh Long,27/09/2022,21:34,26°,Nhiều mây,24°/29°,87%,10 km,5.87 km/giờ,24 °C,0,Khá
"Đồng Tháp",27/09/2022,21:34,26°,Nhiều mây,24°/30°,86%,10 km,6.4 km/giờ,23 °C,0,Trung bình
An Giang,27/09/2022,21:34,26°,Nhiều mây,25°/29°,85%,10 km,6.47 km/giờ,23 °C,0,Tốt
Kiên Giang,27/09/2022,21:34,26°,Nhiều mây,26°/29°,83%,10 km,9.39 km/giờ,23 °C,0,Tốt
Cần Thơ,27/09/2022,21:34,26°,Mây cụm,24°/30°,94%,10 km,3.09 km/giờ,24 °C,0,Tốt
Hậu Giang,27/09/2022,21:35,26°,Nhiều mây,24°/30°,87%,10 km,6.86 km/giờ,24 °C,0,Tốt
Sóc Trăng,27/09/2022,21:35,25°,Nhiều mây,24°/30°,88%,10 km,5.63 km/giờ,23 °C,0,Tốt
Bạc Liêu,27/09/2022,21:35,25°,Mưa nhẹ,25°/30°,87%,10 km,6.79 km/giờ,23 °C,0,Tốt
Cà Mau,27/09/2022,21:35,25°,Nhiều mây,24°/30°,86%,10 km,4.45 km/giờ,23 °C,0,Tốt
