Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Gia Lai,05/10/2022,13:29,27°,Nhiều mây,20°/28°,81%,10 km,2.49 km/giờ,23 °C,10.09,Tốt
"Đắk Lắk",05/10/2022,13:29,29°,Nhiều mây,20°/29°,59%,10 km,3.63 km/giờ,21 °C,9.97,Tốt
"Đắk Nông",05/10/2022,13:29,29°,Nhiều mây,20°/29°,59%,10 km,3.63 km/giờ,21 °C,9.97,Tốt
Lâm Đồng,05/10/2022,13:29,26°,Mây cụm,18°/27°,76%,9.2 km,1 km/giờ,22 °C,0,Tốt
Bình Phước,05/10/2022,13:29,29°,Nhiều mây,21°/31°,79%,10 km,1.71 km/giờ,24 °C,10.83,Tốt
Tây Ninh,05/10/2022,13:29,31°,Nhiều mây,24°/32°,64%,10 km,0.97 km/giờ,24 °C,0,Khá
Bình Dương,05/10/2022,13:29,31°,Mây rải rác,23°/31°,66%,10 km,2.57 km/giờ,24 °C,8.77,Kém
"Đồng Nai",05/10/2022,13:29,31°,Nhiều mây,23°/30°,57%,10 km,2.79 km/giờ,22 °C,8.77,Khá
Bà Rịa - Vũng Tàu,05/10/2022,13:29,31°,Nhiều mây,23°/31°,63%,10 km,5.57 km/giờ,23 °C,0,Tốt
Hồ Chí Minh,05/10/2022,13:29,31°,Mây rải rác,24°/30°,66%,10 km,2.57 km/giờ,24 °C,0,Kém
Long An,05/10/2022,13:30,33°,Nhiều mây,24°/31°,56%,10 km,5.06 km/giờ,24 °C,0,Rất kém
Tiền Giang,05/10/2022,13:30,31°,Nhiều mây,24°/31°,66%,10 km,4.79 km/giờ,24 °C,7.97,Khá
Bến Tre,05/10/2022,13:30,31°,Nhiều mây,24°/31°,64%,10 km,4.94 km/giờ,23 °C,0,Khá
Trà Vinh,05/10/2022,13:30,30°,Mưa nhẹ,24°/30°,71%,10 km,5.67 km/giờ,24 °C,0,Tốt
Vĩnh Long,05/10/2022,13:30,25°,Mưa nhẹ,25°/31°,57%,10 km,6.13 km/giờ,19 °C,8.87,Khá
"Đồng Tháp",05/10/2022,13:30,28°,Nhiều mây,25°/31°,59%,10 km,6.13 km/giờ,19 °C,0,Trung bình
An Giang,05/10/2022,13:30,25°,Mưa vừa,25°/31°,57%,10 km,6.54 km/giờ,16 °C,0,Trung bình
Kiên Giang,05/10/2022,13:30,30°,Nhiều mây,25°/30°,70%,10 km,6.42 km/giờ,24 °C,0,Tốt
Cần Thơ,05/10/2022,13:30,28°,Mây rải rác,25°/31°,78%,8 km,4.63 km/giờ,24 °C,8.87,Khá
Hậu Giang,05/10/2022,13:30,25°,Mưa cường độ nặng,24°/31°,70%,6.52 km,6.34 km/giờ,22 °C,0,Tốt
Sóc Trăng,05/10/2022,13:30,30°,Mưa cường độ nặng,25°/31°,72%,10 km,6.64 km/giờ,24 °C,0,Tốt
Bạc Liêu,05/10/2022,13:30,29°,Mưa vừa,26°/30°,76%,10 km,7.32 km/giờ,24 °C,0,Tốt
Cà Mau,05/10/2022,13:30,26°,Mưa vừa,24°/31°,90%,10 km,2.93 km/giờ,24 °C,0,Tốt
