Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Lâm Đồng,12/10/2022,12:21,27°,Nhiều mây,17°/28°,59%,10 km,1.11 km/giờ,18 °C,7.31,Tốt
Bình Phước,12/10/2022,12:21,33°,Mây rải rác,21°/33°,46%,10 km,2.31 km/giờ,20 °C,11.25,Khá
Tây Ninh,12/10/2022,12:21,31°,Mây cụm,23°/31°,62%,10 km,3.11 km/giờ,23 °C,0,Trung bình
Bình Dương,12/10/2022,12:21,33°,Mây cụm,23°/33°,58%,10 km,2.57 km/giờ,24 °C,0,Khá
"Đồng Nai",12/10/2022,12:21,33°,Mây cụm,23°/33°,66%,10 km,2.15 km/giờ,26 °C,0,Tốt
Bà Rịa - Vũng Tàu,12/10/2022,12:21,31°,Mây cụm,23°/31°,63%,10 km,1.84 km/giờ,23 °C,0,Tốt
Hồ Chí Minh,12/10/2022,12:21,33°,Mây cụm,23°/33°,58%,10 km,2.57 km/giờ,24 °C,0,Khá
Long An,12/10/2022,12:21,31°,Nhiều mây,23°/31°,65%,10 km,2.6 km/giờ,23 °C,0,Khá
Tiền Giang,12/10/2022,12:21,31°,Nhiều mây,23°/31°,62%,10 km,2.13 km/giờ,23 °C,10.18,Tốt
Bến Tre,12/10/2022,12:21,32°,Nhiều mây,23°/32°,58%,10 km,2.03 km/giờ,23 °C,0,Tốt
Trà Vinh,12/10/2022,12:21,31°,Mây cụm,23°/32°,61%,10 km,1.19 km/giờ,23 °C,10.49,Khá
Vĩnh Long,12/10/2022,12:21,29°,Mây rải rác,23°/31°,60%,10 km,2.58 km/giờ,20 °C,10.98,Tốt
"Đồng Tháp",12/10/2022,12:21,29°,Mây cụm,23°/31°,61%,10 km,3.41 km/giờ,21 °C,0,Khá
An Giang,12/10/2022,12:22,29°,Mây cụm,23°/31°,59%,10 km,3.57 km/giờ,21 °C,0,Khá
Kiên Giang,12/10/2022,12:22,30°,Mây cụm,24°/30°,67%,10 km,2.68 km/giờ,23 °C,10.14,Khá
Cần Thơ,12/10/2022,12:22,29°,Mây rải rác,23°/32°,74%,10 km,2.57 km/giờ,24 °C,0,Tốt
Hậu Giang,12/10/2022,12:22,29°,Mây cụm,24°/30°,64%,10 km,1.81 km/giờ,22 °C,10.14,Khá
Sóc Trăng,12/10/2022,12:22,31°,Mây rải rác,24°/31°,64%,10 km,0.82 km/giờ,23 °C,0,Khá
Bạc Liêu,12/10/2022,12:22,30°,Mây rải rác,24°/30°,66%,10 km,1.65 km/giờ,23 °C,0,Khá
Cà Mau,12/10/2022,12:22,30°,Mây cụm,23°/30°,68%,8.68 km,1.65 km/giờ,24 °C,0,Trung bình
