Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Thanh Hóa,18/09/2022,19:03,27°,Mây cụm,25°/33°,83%,10 km,1.82 km/giờ,24 °C,0,Rất kém
Nghệ An,18/09/2022,19:03,28°,Mây rải rác,25°/32°,77%,10 km,1.58 km/giờ,23 °C,0,Kém
Hà Tĩnh,18/09/2022,19:03,27°,Mây rải rác,25°/32°,81%,10 km,1.55 km/giờ,24 °C,0,Kém
Quảng Bình,18/09/2022,19:03,26°,Mây cụm,24°/34°,91%,10 km,0.96 km/giờ,25 °C,0,Tốt
Quảng Trị,18/09/2022,19:03,27°,Mây cụm,24°/34°,82%,10 km,1.51 km/giờ,23 °C,0,Khá
Thừa Thiên Huế,18/09/2022,19:03,29°,Mây rải rác,24°/33°,74%,10 km,2.57 km/giờ,24 °C,0,Khá
"Đà Nẵng",18/09/2022,19:03,27°,Mây rải rác,25°/31°,83%,10 km,3.6 km/giờ,24 °C,0,Trung bình
Quảng Nam,18/09/2022,19:03,27°,Mây cụm,24°/31°,81%,10 km,1.07 km/giờ,23 °C,0,Kém
Quảng Ngãi,18/09/2022,19:03,27°,Nhiều mây,24°/32°,82%,10 km,0.57 km/giờ,24 °C,0,Kém
Bình Định,18/09/2022,19:03,27°,Mây cụm,25°/30°,78%,10 km,0.88 km/giờ,23 °C,0,Khá
Phú Yên,18/09/2022,19:03,23°,Mây cụm,22°/32°,92%,10 km,0.91 km/giờ,22 °C,0,Tốt
Khánh Hòa,18/09/2022,19:03,27°,Nhiều mây,23°/31°,93%,10 km,2.11 km/giờ,27 °C,0,Tốt
Ninh Thuận,18/09/2022,19:04,26°,Nhiều mây,24°/32°,89%,10 km,2.46 km/giờ,24 °C,0,Tốt
Bình Thuận,18/09/2022,19:04,25°,Mây cụm,22°/33°,84%,10 km,2.38 km/giờ,22 °C,0,Trung bình
Kon Tum,18/09/2022,19:04,23°,Nhiều mây,21°/27°,95%,10 km,0.94 km/giờ,22 °C,0,Tốt
Gia Lai,18/09/2022,19:04,23°,Nhiều mây,21°/28°,90%,10 km,0.82 km/giờ,22 °C,0,Tốt
"Đắk Lắk",18/09/2022,19:04,21°,Mưa vừa,20°/27°,97%,10 km,0.89 km/giờ,21 °C,0,Tốt
"Đắk Nông",18/09/2022,19:04,21°,Mưa vừa,20°/27°,97%,10 km,0.89 km/giờ,21 °C,0,Tốt
Lâm Đồng,18/09/2022,19:04,21°,Nhiều mây,19°/29°,90%,10 km,1.74 km/giờ,19 °C,0,Tốt
Bình Phước,18/09/2022,19:04,24°,Mưa nhẹ,22°/29°,94%,10 km,0.8 km/giờ,23 °C,0,Tốt
Tây Ninh,18/09/2022,19:04,26°,Mưa cường độ nặng,24°/31°,84%,10 km,1.64 km/giờ,23 °C,0,Tốt
Bình Dương,18/09/2022,19:04,27°,Mưa cường độ nặng,24°/31°,89%,10 km,1.54 km/giờ,25 °C,0,Khá
"Đồng Nai",18/09/2022,19:04,27°,Mưa nhẹ,24°/31°,85%,10 km,2.88 km/giờ,24 °C,0,Trung bình
Bà Rịa - Vũng Tàu,18/09/2022,19:04,25°,Mây cụm,23°/31°,88%,10 km,2.51 km/giờ,23 °C,0,Trung bình
Hồ Chí Minh,18/09/2022,19:04,27°,Mây cụm,24°/31°,89%,10 km,1.54 km/giờ,25 °C,0,Kém
Long An,18/09/2022,19:04,26°,Nhiều mây,24°/32°,85%,10 km,3.67 km/giờ,23 °C,0,Khá
Tiền Giang,18/09/2022,19:04,25°,Nhiều mây,24°/33°,89%,10 km,2.3 km/giờ,24 °C,0,Khá
Bến Tre,18/09/2022,19:04,25°,Nhiều mây,24°/33°,91%,10 km,2.11 km/giờ,24 °C,0,Khá
Trà Vinh,18/09/2022,19:04,26°,Nhiều mây,24°/33°,86%,10 km,2.56 km/giờ,23 °C,0,Trung bình
Vĩnh Long,18/09/2022,19:04,25°,Nhiều mây,25°/33°,83%,10 km,3.53 km/giờ,22 °C,0,Khá
"Đồng Tháp",18/09/2022,19:04,25°,Mây cụm,24°/32°,80%,10 km,4.4 km/giờ,21 °C,0,Khá
An Giang,18/09/2022,19:04,25°,Mây cụm,25°/32°,78%,10 km,4.31 km/giờ,21 °C,0,Khá
Kiên Giang,18/09/2022,19:04,27°,Nhiều mây,26°/30°,77%,10 km,5.73 km/giờ,23 °C,0,Tốt
Cần Thơ,18/09/2022,19:04,25°,Mây rải rác,24°/32°,88%,10 km,3.6 km/giờ,23 °C,0,Tốt
Hậu Giang,18/09/2022,19:04,25°,Nhiều mây,24°/31°,85%,10 km,3.41 km/giờ,22 °C,0,Tốt
Sóc Trăng,18/09/2022,19:04,26°,Nhiều mây,24°/32°,84%,10 km,2.76 km/giờ,23 °C,0,Tốt
Bạc Liêu,18/09/2022,19:04,27°,Nhiều mây,25°/32°,82%,10 km,4.86 km/giờ,23 °C,0,Tốt
Cà Mau,18/09/2022,19:04,26°,Mưa nhẹ,25°/32°,85%,10 km,2.12 km/giờ,23 °C,0,Tốt
